"자전거번호","등록일시","고장구분","등록날짜","자전거","년도","일자"
"SPB-06691","2018-06-27 22:02","안장","2018-06-27",6691,2018,178
"SPB-06787","2018-05-13 14:37","타이어 ","2018-05-13",6787,2018,133
"SPB-06861","2018-10-30 9:52","안장","2018-10-30",6861,2018,303
"SPB-06871","2018-06-05 9:09","파손","2018-06-05",6871,2018,156
"SPB-06871","2018-07-28 18:49","단말기","2018-07-28",6871,2018,209
"SPB-06888","2018-05-27 13:04","기타 ","2018-05-27",6888,2018,147
"SPB-06888","2018-06-01 3:14","타이어 ","2018-06-01",6888,2018,152
"SPB-06897","2018-10-17 23:32","체인","2018-10-17",6897,2018,290
"SPB-06947","2018-05-27 11:45","기타 ","2018-05-27",6947,2018,147
"SPB-06947","2018-06-05 6:34","체인","2018-06-05",6947,2018,156
"SPB-07009","2018-06-05 17:06","기타 ","2018-06-05",7009,2018,156
"SPB-07060","2018-05-27 22:00","안장","2018-05-27",7060,2018,147
"SPB-07086","2018-05-21 8:47","페달","2018-05-21",7086,2018,141
"SPB-07086","2018-09-11 19:53","체인","2018-09-11",7086,2018,254
"SPB-07086","2018-09-14 19:50","체인","2018-09-14",7086,2018,257
"SPB-07118","2018-10-12 9:17","체인","2018-10-12",7118,2018,285
"SPB-07122","2018-08-08 7:43","체인","2018-08-08",7122,2018,220
"SPB-07122","2018-09-07 21:18","체인","2018-09-07",7122,2018,250
"SPB-07152","2018-06-03 0:52","안장","2018-06-03",7152,2018,154
"SPB-07166","2018-05-27 19:51","기타 ","2018-05-27",7166,2018,147
"SPB-07166","2018-09-14 19:54","타이어 ","2018-09-14",7166,2018,257
"SPB-07222","2018-11-01 15:39","페달","2018-11-01",7222,2018,305
"SPB-07238","2018-10-24 23:31","체인","2018-10-24",7238,2018,297
"SPB-07258","2018-09-26 19:42","기타 ","2018-09-26",7258,2018,269
"SPB-07267","2018-06-01 17:56","타이어 ","2018-06-01",7267,2018,152
"SPB-07269","2018-07-05 0:06","기타 ","2018-07-05",7269,2018,186
"SPB-07290","2018-11-15 16:53","체인","2018-11-15",7290,2018,319
"SPB-07318","2018-06-28 10:11","단말기","2018-06-28",7318,2018,179
"SPB-07435","2018-04-29 17:45","기타 ","2018-04-29",7435,2018,119
"SPB-07514","2018-09-12 12:43","타이어 ","2018-09-12",7514,2018,255
"SPB-07518","2018-12-27 8:47","안장","2018-12-27",7518,2018,361
"SPB-07585","2018-11-10 21:24","단말기","2018-11-10",7585,2018,314
"SPB-07591","2018-10-11 18:59","타이어 ","2018-10-11",7591,2018,284
"SPB-07657","2018-04-19 20:55","기타 ","2018-04-19",7657,2018,109
"SPB-07657","2018-10-20 11:26","기타 ","2018-10-20",7657,2018,293
"SPB-07803","2018-10-02 21:07","기타 ","2018-10-02",7803,2018,275
"SPB-07803","2018-10-06 20:25","기타 ","2018-10-06",7803,2018,279
"SPB-07916","2018-12-05 14:02","타이어 ","2018-12-05",7916,2018,339
"SPB-07916","2018-12-09 12:00","타이어 ","2018-12-09",7916,2018,343
"SPB-07940","2018-10-13 22:22","체인","2018-10-13",7940,2018,286
"SPB-07940","2018-10-21 21:28","체인","2018-10-21",7940,2018,294
"SPB-07940","2018-10-26 23:39","타이어 ","2018-10-26",7940,2018,299
"SPB-07969","2018-09-07 19:45","체인","2018-09-07",7969,2018,250
"SPB-07969","2018-09-08 23:35","체인","2018-09-08",7969,2018,251
"SPB-08149","2018-09-13 9:46","기타 ","2018-09-13",8149,2018,256
"SPB-08149","2018-10-27 23:10","체인","2018-10-27",8149,2018,300
"SPB-08152","2018-05-27 20:45","안장","2018-05-27",8152,2018,147
"SPB-08152","2018-11-06 1:06","단말기","2018-11-06",8152,2018,310
"SPB-08154","2018-04-09 15:32","기타 ","2018-04-09",8154,2018,99
"SPB-08178","2018-09-06 11:04","안장","2018-09-06",8178,2018,249
"SPB-08178","2018-10-20 14:07","페달","2018-10-20",8178,2018,293
"SPB-08382","2018-12-02 18:36","체인","2018-12-02",8382,2018,336
"SPB-08420","2018-09-11 20:01","체인","2018-09-11",8420,2018,254
"SPB-08549","2018-03-13 18:00","기타 ","2018-03-13",8549,2018,72
"SPB-08549","2018-06-28 23:57","기타 ","2018-06-28",8549,2018,179
"SPB-08559","2018-08-03 17:48","페달","2018-08-03",8559,2018,215
"SPB-08567","2018-08-16 21:56","안장","2018-08-16",8567,2018,228
"SPB-08668","2018-10-14 21:10","기타 ","2018-10-14",8668,2018,287
"SPB-08697","2018-05-25 3:27","단말기","2018-05-25",8697,2018,145
"SPB-08905","2018-06-16 17:08","타이어 ","2018-06-16",8905,2018,167
"SPB-08915","2018-10-03 15:18","체인","2018-10-03",8915,2018,276
"SPB-08915","2018-10-04 21:04","체인","2018-10-04",8915,2018,277
"SPB-08949","2018-07-12 21:23","단말기","2018-07-12",8949,2018,193
"SPB-08949","2018-07-13 11:42","기타 ","2018-07-13",8949,2018,194
"SPB-09004","2018-09-27 18:25","기타 ","2018-09-27",9004,2018,270
"SPB-09137","2018-05-15 18:09","단말기","2018-05-15",9137,2018,135
"SPB-09137","2018-09-10 20:15","단말기","2018-09-10",9137,2018,253
"SPB-09168","2018-06-17 12:18","기타 ","2018-06-17",9168,2018,168
"SPB-09246","2018-09-22 19:34","단말기","2018-09-22",9246,2018,265
"SPB-09284","2018-05-21 20:03","단말기","2018-05-21",9284,2018,141
"SPB-09293","2018-05-15 18:35","안장","2018-05-15",9293,2018,135
"SPB-09293","2018-05-23 17:58","기타 ","2018-05-23",9293,2018,143
"SPB-09300","2018-09-08 20:07","단말기","2018-09-08",9300,2018,251
"SPB-09428","2018-08-22 22:23","기타 ","2018-08-22",9428,2018,234
"SPB-09428","2018-09-04 9:02","안장","2018-09-04",9428,2018,247
"SPB-09428","2018-09-05 18:50","체인","2018-09-05",9428,2018,248
"SPB-09487","2018-06-23 19:52","안장","2018-06-23",9487,2018,174
"SPB-09827","2018-07-15 22:05","기타 ","2018-07-15",9827,2018,196
"SPB-09929","2018-08-16 21:07","체인","2018-08-16",9929,2018,228
"SPB-10054","2018-11-26 0:11","체인","2018-11-26",10054,2018,330
"SPB-10148","2018-10-07 16:51","페달","2018-10-07",10148,2018,280
"SPB-10148","2018-10-08 18:20","체인","2018-10-08",10148,2018,281
"SPB-10500","2018-07-08 22:51","타이어 ","2018-07-08",10500,2018,189
"SPB-10500","2018-08-19 22:56","안장","2018-08-19",10500,2018,231
"SPB-10705","2018-09-23 14:01","기타 ","2018-09-23",10705,2018,266
"SPB-10904","2018-04-16 22:17","단말기","2018-04-16",10904,2018,106
"SPB-11062","2018-08-20 12:43","기타 ","2018-08-20",11062,2018,232
"SPB-11248","2018-10-17 11:36","타이어 ","2018-10-17",11248,2018,290
"SPB-11335","2018-09-12 23:51","안장","2018-09-12",11335,2018,255
"SPB-11503","2018-09-28 22:24","체인","2018-09-28",11503,2018,271
