"지점","지점명","일시","평균기온..C.","강수.계속시간.hr.","평균.풍속.m.s.","평균.상대습도...","평균.현지기압.hPa.","합계.일조시간.hr.","일.최심적설.cm.","평균.전운량.1.10.","평균.지면온도..C.","안개.계속시간.hr."
108,"서울","2018-02-10",-0.5,0,3,47.4,1010.9,5.3,0,6.5,0.2,0
108,"서울","2018-02-11",-6.1,1,2.7,42.5,1011.3,6.6,0,3.5,-3.4,0
108,"서울","2018-02-12",-5.8,2.17,2.7,40.8,1011,8.7,0,4.1,-3.2,0
108,"서울","2018-02-13",-0.8,0,2.7,54.5,1011,8.3,0,3.1,-1.5,0
108,"서울","2018-02-14",3.5,0,2.6,51,1006.3,3.3,0,7.4,1.7,0
108,"서울","2018-02-15",-0.7,0,2.5,28,1011.5,0,0,3.8,0.9,0
108,"서울","2018-02-16",-1.1,0,2.1,40.1,1008.1,9.7,0,3.3,-0.1,0
108,"서울","2018-02-17",-3,0,2.9,25.6,1014.1,9,0,1.9,-0.8,0
108,"서울","2018-02-18",-0.4,0,1.3,26.9,1015.5,7.2,0,7.4,-0.1,0
108,"서울","2018-02-19",1.8,0,1.5,48.6,1013.3,4.8,0,6.1,1.1,0
108,"서울","2018-02-20",0.9,0,2.5,41,1012.8,8.3,0,5,1.2,0
108,"서울","2018-02-21",-0.9,0,2.3,31.5,1013.4,9.8,0,1.6,0.2,0
108,"서울","2018-02-22",1.3,0.67,2.2,59,1010.6,6.4,0.4,5.8,0.2,0
108,"서울","2018-02-23",4.2,2.75,1.9,81.1,1010.1,4.8,4.1,7,2.4,0
108,"서울","2018-02-24",2.4,0,2.1,49.4,1016.8,7.6,0,6.1,2.8,0
108,"서울","2018-02-25",1.9,0,1.7,40.6,1014.6,9.2,0,2.4,2.7,0
108,"서울","2018-02-26",3.1,0,1.4,43.1,1013.9,10.2,0,1.3,2.5,0
108,"서울","2018-02-27",4.2,0,0.9,48.8,1012.5,0,0,8.5,0.4,0
108,"서울","2018-02-28",4.6,11.25,2,73.3,1000.1,0,0,10,2,0
108,"서울","2018-03-01",-0.2,4.25,3.8,61.9,1001.1,8.7,0,4.4,2.5,0
108,"서울","2018-03-02",-0.7,0,1.5,34,1007.5,10.3,0,2.4,1.1,0
108,"서울","2018-03-03",7.9,1.17,1.5,38.1,1003.7,10.1,0,4.1,5.3,0
108,"서울","2018-03-04",9.8,13.75,1.2,89.1,1003,0,0,10,7.6,0
108,"서울","2018-03-05",5.5,9.92,2,67.5,1007.9,7,0,5.4,6.7,0
108,"서울","2018-03-06",4.5,0,1.6,46.8,1018.8,10.6,0,2.1,4.1,0
108,"서울","2018-03-07",6.4,3.5,1.8,54,1016.7,3,0,8.6,4.4,0
108,"서울","2018-03-08",4.6,10.25,1.9,76,1009.3,5.1,0,8.1,6.5,0
108,"서울","2018-03-09",4.5,0,1.5,63.3,1012.6,5.1,0,5.9,4.3,0
108,"서울","2018-03-10",4.6,0,2,65.8,1013.4,7.9,0,4.6,5,0
108,"서울","2018-03-11",6.4,0,2,51.3,1014.7,9.8,0,2.8,7.2,0
108,"서울","2018-03-12",8,0,1.4,45.8,1011.8,7.5,0,3.3,6.6,0
108,"서울","2018-03-13",12.4,0,1.8,60.5,1008.3,6.6,0,5.9,10.6,0
108,"서울","2018-03-14",17,0,2.3,58.8,1008.5,7.9,0,6,14.8,0
108,"서울","2018-03-15",12.4,13.5,2.1,92.1,1003.3,0,0,9.8,12.2,0
108,"서울","2018-03-16",7.1,0,1.9,46.9,1014.1,11,0,1.4,9.6,0
108,"서울","2018-03-17",6.6,0,1.5,48,1016.6,9.1,0,4.4,7.9,0
108,"서울","2018-03-18",8.2,7.42,1.2,55.9,1010.7,0,0,9.8,8.8,0
108,"서울","2018-03-19",8,13.5,2.5,64.5,1006.2,0,0,9.5,7.5,0
108,"서울","2018-03-20",4.7,0,3.4,39.9,1013,5.4,0,6.9,5.2,0
108,"서울","2018-03-21",2.1,8.33,1.7,64.1,1007.5,0.4,0,9.9,3.2,0
108,"서울","2018-03-22",4.9,0,2.2,61.5,1004.4,10.7,0,1.5,7.3,0
108,"서울","2018-03-23",6.1,0,2,55.3,1009.1,8.7,0,4.6,7.6,0
108,"서울","2018-03-24",7.6,0,2.1,61.9,1011.8,7.2,0,6.3,9.5,0
108,"서울","2018-03-25",9.6,0,1.7,65.6,1014,9.5,0,3.4,11.2,0
108,"서울","2018-03-26",11,0,1.9,64.5,1011.3,9.1,0,3.6,12.2,5.68
108,"서울","2018-03-27",13.3,0,1.6,61.1,1007.3,7.9,0,2.6,12.6,0
108,"서울","2018-03-28",14,0,2.2,66.4,1006.6,5.2,0,4.3,13.1,0
108,"서울","2018-03-29",15.4,0,1.6,66.3,1009.6,7.5,0,4.9,15.1,0
108,"서울","2018-03-30",14.8,0,1.7,55.6,1012.7,9.9,0,0.5,14.9,0
108,"서울","2018-03-31",14,0,1.9,52.9,1009.9,7.9,0,4.4,14.5,0
108,"서울","2018-04-01",15.6,0,1.5,68.8,1006.3,1.3,0,9.1,14.3,0
108,"서울","2018-04-02",18.4,0,1.9,64,1005.4,5.6,0,6.1,17.8,0
108,"서울","2018-04-03",17.8,2.92,2.1,72.9,1006.4,0.8,0,9.1,17.2,0
108,"서울","2018-04-04",13.4,6.5,1.9,67,1007.4,8,0,6.1,15.9,0
108,"서울","2018-04-05",7.6,19.67,2,90.6,1005.7,0,0,9.9,8.9,0
108,"서울","2018-04-06",5.8,5.42,3.1,71.6,1001,4,0,8.9,8.7,0
108,"서울","2018-04-07",4.2,2.58,4.1,45.5,1003.4,9,0,5.1,6.2,0
108,"서울","2018-04-08",3.9,6.5,1.8,59.6,1004.7,3.3,0,6.1,5.2,0
108,"서울","2018-04-09",7.9,0,1.1,57.9,1007.5,9.5,0,2.6,10,1.9
108,"서울","2018-04-10",15.1,2.58,3.5,51,1000,6.3,0,6.3,13,0
108,"서울","2018-04-11",12.6,0,3,49.4,1000.8,11.8,0,2.6,15.1,0
108,"서울","2018-04-12",13.3,0,2.6,30.5,1007.7,12,0,1.3,13.6,0
108,"서울","2018-04-13",14.6,0,1.3,22.9,1011.8,2.7,0,8.9,12.1,0
108,"서울","2018-04-14",9,13.33,1.8,78.8,999.5,0.3,0,8.9,9.4,0
108,"서울","2018-04-15",9.5,0,2.4,65.5,1002.3,8.6,0,3.1,11.4,0
108,"서울","2018-04-16",11.6,0,1.6,41.9,1009.3,12.3,0,1,13.3,0
108,"서울","2018-04-17",12.9,0,1.9,37.9,1009.5,12.2,0,0.9,14.2,0
108,"서울","2018-04-18",12.4,0,1.9,35.4,1007.4,12,0,0.4,16.2,0
108,"서울","2018-04-19",14,0,1.9,38.8,1007.8,11.4,0,0,17.5,0
108,"서울","2018-04-20",18.4,0,1.3,46,1009.3,11.3,0,0.5,20.6,0
108,"서울","2018-04-21",18.7,0,1.9,32,1008.1,12.4,0,3.4,21.4,0
108,"서울","2018-04-22",15.5,14.5,1.1,57.4,1007.9,0,0,9.5,14.4,0
108,"서울","2018-04-23",9.3,23.42,2.2,93.9,1005,0,0,10,9.9,0
108,"서울","2018-04-24",12.1,5.75,1.4,63.3,1001.6,0,0,8,12.6,0
108,"서울","2018-04-25",14.6,0,1.5,37.8,1003.2,12.4,0,0.8,16.1,0
108,"서울","2018-04-26",14.9,0,2.1,51.9,1003.7,11.7,0,3.9,17.9,0
108,"서울","2018-04-27",15.7,0,1.7,52.9,1004.2,11.3,0,0.1,19.3,0
108,"서울","2018-04-28",15.4,0,2,49,1006.2,12.4,0,0,20,0
108,"서울","2018-04-29",16.2,0,1.9,43.1,1003.4,11.6,0,2.4,20.5,0
108,"서울","2018-04-30",19.2,0,1.6,61.6,1004.4,9.2,0,5.5,23,0
108,"서울","2018-05-01",20.4,1.42,1.5,72.8,1003.5,3.2,0,8.5,23.5,0
108,"서울","2018-05-02",15.1,14.83,1.9,90.4,994.9,0,0,9.9,16,0
108,"서울","2018-05-03",11.2,3.62,2.7,62.4,997.4,8.2,0,3.6,11.4,0
108,"서울","2018-05-04",14.1,0,2.7,45.5,1001.5,12.4,0,1.4,17.9,0
108,"서울","2018-05-05",18.3,0,2.6,46.8,1004.7,11,0,6,20.4,0
108,"서울","2018-05-06",16.6,13.83,1.1,86.4,997.7,3.2,0,9.3,17.2,0
108,"서울","2018-05-07",19.2,0,1.2,60.3,996.5,7.1,0,6,18.4,0
108,"서울","2018-05-08",17.5,0,1.7,50.9,1003.9,11.3,0,3,21.3,0
108,"서울","2018-05-09",15.7,0,1.7,50.4,1010.6,12.6,0,0.1,21.7,0
108,"서울","2018-05-10",15.4,0,2.3,67.4,1012.1,12.3,0,3.1,22.5,0
108,"서울","2018-05-11",16.1,0,1.8,59.8,1008.2,5.3,0,9.5,21,0
108,"서울","2018-05-12",14.2,21,0.9,89.3,999.8,0,0,10,14.6,0
108,"서울","2018-05-13",15.8,8.25,1.9,82.5,998.3,6.9,0,5.3,18.4,1.58
108,"서울","2018-05-14",18.2,0,1.4,71.4,1001.3,7.2,0,6.6,21.2,0
108,"서울","2018-05-15",23.2,0.75,1.1,56.4,1000,8.9,0,8.5,25.3,0
108,"서울","2018-05-16",22.3,17.07,1.9,93.8,995.1,0,0,10,21.6,0
108,"서울","2018-05-17",20.9,19.75,1.4,97,994,0,0,10,21.2,0.33
108,"서울","2018-05-18",16.3,13.33,1.3,86.8,996.2,0.4,0,8.3,18.2,0
